from,to,score
AT3G56970,AT3G56980,0.116084
AT1G49720,AT4G16146,0.114592
AT3G56980,AT3G56970,0.111939
AT1G49720,AT1G19370,0.10967
AT1G49720,AT3G09600,0.108444
AT1G49720,AT3G02380,0.102985
AT1G49720,AT1G01060,0.10252
AT1G49720,AT5G58600,0.101672
AT5G54680,AT4G36980,0.100967
AT4G25400,AT4G25280,0.099105
AT1G49720,AT2G21130,0.098521
AT1G49720,AT3G10410,0.09722
AT2G28160,AT2G35930,0.097084
AT5G48560,AT1G65150,0.097034
AT1G49720,AT4G09020,0.096707
AT2G22850,AT1G76065,0.095818
AT3G56970,AT5G04150,0.095424
AT3G23210,AT1G16730,0.094822
AT3G59060,AT3G27690,0.094402
AT1G49720,AT4G01670,0.094023
AT3G23210,AT1G23740,0.093262
AT1G49720,AT1G13600,0.092428
AT5G24800,AT5G26200,0.092319
AT5G67110,AT3G28220,0.091895
AT1G49720,AT2G36390,0.091743
AT3G56980,AT5G04150,0.091422
AT5G48560,AT3G25905,0.091315
AT1G42990,AT3G24050,0.090957
AT5G61270,AT5G15450,0.09053
AT1G22070,AT1G01500,0.090124
AT5G61270,AT1G16730,0.089771
AT1G68920,AT2G25660,0.088927
AT4G36930,AT4G35900,0.088815
AT2G46270,AT4G34000,0.088688
AT4G36730,AT4G17730,0.0885
AT3G23210,AT4G11570,0.087759
AT1G31050,AT2G28890,0.087616
AT5G54680,AT1G72020,0.087569
AT5G04150,AT3G56970,0.087564
AT5G46760,AT3G63070,0.087492
AT1G68920,AT1G07810,0.087018
AT4G36730,AT5G39660,0.086864
AT1G22070,AT1G64890,0.086585
AT3G23210,AT1G17050,0.086346
AT5G61270,AT3G61750,0.086306
AT5G61270,AT4G11570,0.086259
AT5G04150,AT3G56980,0.085971
AT5G06960,AT1G61660,0.085827
AT1G68920,AT3G11910,0.085704
AT5G46760,AT5G08110,0.085698
AT4G36730,AT1G02840,0.085651
AT5G67110,AT4G38950,0.085605
AT1G68640,AT3G28220,0.085575
AT3G10800,AT4G33240,0.085499
AT1G06070,AT5G55670,0.085359
AT3G23210,AT3G61750,0.08534
AT1G19490,AT3G47160,0.085266
AT1G68920,AT5G44800,0.084818
AT1G49720,AT1G75140,0.084763
AT1G19490,AT5G12840,0.084467
AT1G68920,AT4G04970,0.084455
AT1G68920,AT1G73970,0.084428
AT2G46270,AT5G11060,0.08435
AT1G68920,AT1G67792,0.084316
AT1G43700,AT4G03030,0.084261
AT3G10800,AT4G16760,0.084169
AT1G68920,AT5G60410,0.084024
AT3G56850,AT5G67250,0.083925
AT1G43700,AT1G05890,0.083632
AT1G49720,AT5G47240,0.083592
AT2G46270,AT4G18700,0.083564
AT4G14410,AT3G21865,0.083561
AT3G19860,AT1G20490,0.083541
AT4G25400,AT4G25390,0.083539
AT1G19490,AT5G02950,0.083312
AT3G23210,AT2G37240,0.083301
AT5G54680,AT2G39460,0.083191
AT1G68920,AT1G08592,0.083161
AT1G19490,AT4G30960,0.082927
AT5G61270,AT2G34460,0.082923
AT1G06070,AT3G61690,0.082833
AT2G46270,AT4G14550,0.082829
AT4G34000,AT1G69040,0.082808
AT3G56850,AT1G17120,0.082601
AT1G68920,AT3G08530,0.082506
AT1G68920,AT1G79350,0.082492
AT5G54680,AT2G30260,0.082024
AT5G38860,AT3G19860,0.081969
AT5G54680,AT5G07270,0.081961
AT1G68920,AT2G07360,0.081924
AT3G56850,AT1G11480,0.081739
AT1G68920,AT3G61710,0.081717
AT3G10800,AT5G08130,0.081675
AT2G46270,AT1G68440,0.081536
AT5G08130,AT2G18790,0.081518
AT1G68920,AT5G04460,0.081487
AT3G59060,AT5G06980,0.081357
AT3G23210,AT1G54110,0.081252
AT4G34000,AT2G46270,0.081247
AT1G06070,AT4G11800,0.080955
AT3G57800,AT2G41710,0.080892
AT1G06070,AT4G17330,0.080625
AT5G54680,AT3G61860,0.080554
AT5G46760,AT1G79280,0.080459
AT1G06070,AT5G62090,0.080434
AT5G54680,AT1G01710,0.080431
AT4G34000,AT3G53800,0.080389
AT2G46810,AT5G08430,0.080345
AT3G23210,AT5G50100,0.080259
AT3G56850,AT3G17650,0.080227
AT4G34000,AT2G38610,0.080163
AT4G34000,AT3G02470,0.080148
AT5G61270,AT3G48610,0.080147
AT3G10800,AT4G02020,0.080132
AT3G23210,AT2G34460,0.080098
AT1G06070,AT4G03390,0.079934
AT1G22070,AT1G07420,0.079904
AT5G28770,AT3G06590,0.079848
AT4G34000,AT5G42810,0.079836
AT1G42990,AT2G26540,0.079794
AT3G56850,AT3G04470,0.079793
AT2G47270,AT5G08790,0.079734
AT3G23210,AT4G10040,0.079681
AT5G48560,AT3G53370,0.079645
AT5G48560,AT5G49560,0.079611
AT1G06070,AT2G39260,0.079599
AT3G57800,AT5G24155,0.079577
AT1G68920,AT3G54440,0.079533
AT1G43700,AT5G56600,0.079413
AT3G23210,AT5G15450,0.079376
AT1G19490,AT3G01060,0.07926
AT3G17100,AT3G54740,0.079239
AT5G06960,AT4G25670,0.079146
AT4G34000,AT1G22370,0.079136
AT1G43700,AT1G74090,0.079132
AT1G68920,AT3G23900,0.079085
AT1G10610,AT1G17470,0.079023
AT4G36730,AT5G17300,0.078971
AT5G50915,AT1G30510,0.078905
AT1G68920,AT2G35630,0.078835
AT1G06070,AT3G63460,0.078645
AT4G35900,AT4G36930,0.078631
AT5G46760,AT4G21105,0.078583
AT2G22850,AT1G69410,0.07853
AT3G59060,AT5G14550,0.07851
AT4G34000,AT3G56940,0.078477
AT2G24260,AT4G01120,0.078362
AT3G56850,AT1G15750,0.07836
AT2G41070,AT1G19570,0.078338
AT1G68920,AT1G60200,0.078293
AT1G68920,AT2G47350,0.078263
AT5G48560,AT4G33520,0.078263
AT1G68810,AT1G77920,0.078253
AT1G68640,AT4G01880,0.078122
AT4G34000,AT2G37320,0.078106
AT1G49720,AT4G18530,0.078012
AT5G61270,AT1G30120,0.07801
AT4G38900,AT2G25660,0.077827
AT5G46760,AT2G36960,0.077819
AT4G17880,AT2G30150,0.077796
AT1G68920,AT5G51690,0.077638
AT5G61270,AT1G76240,0.077573
AT2G31280,AT4G35580,0.077571
AT1G06070,AT2G04865,0.07756
AT4G34000,AT3G62110,0.077555
AT1G03970,AT5G35520,0.077544
AT5G46760,AT5G56270,0.077483
AT1G49720,AT1G64890,0.077287
AT5G44080,AT5G40910,0.077245
AT3G19860,AT5G38860,0.077156
AT5G39860,AT3G15540,0.077152
AT1G68920,AT5G40340,0.077141
AT4G30180,AT2G23590,0.077134
AT1G68920,AT2G47760,0.077084
AT1G49720,AT2G43550,0.077077
AT5G50915,AT1G16300,0.076916
AT1G63650,AT1G51140,0.076874
AT2G40950,AT5G57015,0.076821
AT1G61660,AT5G63790,0.076776
AT1G68920,AT1G02990,0.076707
AT5G46760,AT3G57570,0.076642
AT1G49720,AT1G79440,0.076592
AT3G06590,AT5G28770,0.076534
AT5G54680,AT2G16600,0.076532
AT4G34000,AT5G48470,0.076528
AT4G36730,AT1G34630,0.076507
AT1G22070,AT3G02380,0.076504
AT4G34000,AT3G54500,0.076499
AT4G36730,AT5G56100,0.076464
AT5G61270,AT1G23740,0.076405
AT3G19860,AT1G15180,0.076292
AT3G23210,AT1G19490,0.076281
AT1G02340,AT5G39860,0.076253
AT1G06070,AT1G24460,0.076247
AT3G23210,AT4G39800,0.076241
AT1G68920,AT1G16710,0.076216
AT1G06070,AT3G07160,0.076202
AT3G06590,AT3G27420,0.076159
AT3G23210,AT1G53670,0.076128
AT4G34000,AT5G54110,0.076115
AT1G06070,AT5G07920,0.076031
AT3G19860,AT1G19396,0.075993
AT5G46760,AT3G46920,0.07599
AT5G46760,AT1G02990,0.075984
AT5G61270,AT4G22240,0.075919
AT3G23210,AT1G10370,0.07582
AT4G30410,AT5G63650,0.075798
AT3G23210,AT1G76570,0.07571
AT3G07340,AT2G06040,0.075696
AT4G34000,AT5G13630,0.075676
AT2G27230,AT5G45472,0.075604
AT1G49720,AT2G21660,0.075529
AT1G06070,AT3G05670,0.07552
AT5G46760,AT3G07160,0.075508
AT4G36730,AT2G42780,0.075456
AT5G28770,AT3G27420,0.075414
AT5G61270,AT1G10370,0.075402
AT2G46270,AT3G57880,0.075384
AT2G46270,AT3G06760,0.075342
AT1G61660,AT5G06960,0.07532
AT1G43700,AT3G62980,0.075105
AT3G23210,AT2G36895,0.07499
AT1G06070,AT5G21990,0.074976
AT1G68920,AT5G41100,0.07497
AT4G14410,AT4G14310,0.074906
AT1G68920,AT2G22530,0.074889
AT5G46760,AT5G42092,0.074871
AT3G19290,AT2G36080,0.074864
AT3G56850,AT1G27600,0.074834
AT4G38900,AT4G04970,0.074833
AT1G43700,AT3G55120,0.074826
AT3G56850,AT2G43970,0.074814
AT4G01120,AT2G24260,0.074781
AT1G10610,AT3G19860,0.074763
AT1G49720,AT5G64860,0.074742
AT5G28770,AT4G09500,0.074652
AT1G68920,AT5G50920,0.074604
AT5G51780,AT5G51790,0.07448
AT1G43700,AT4G08290,0.074464
AT3G47640,AT5G13740,0.074356
AT5G46760,AT1G16710,0.074342
AT3G17100,AT1G06110,0.074318
AT4G34000,AT1G21410,0.074312
AT1G09250,AT1G70760,0.074296
AT5G46760,AT1G10130,0.07426
AT3G47640,AT5G58770,0.074253
AT2G47270,AT5G54940,0.074221
AT3G23210,AT5G20070,0.074181
AT1G13600,AT1G01060,0.074176
AT3G23210,AT3G18750,0.074136
AT3G10800,AT1G22270,0.074099
AT3G23210,AT1G10960,0.074089
AT3G23210,AT5G35460,0.074024
AT5G48560,AT2G03470,0.07401
AT1G13600,AT5G64940,0.073969
AT5G46760,AT2G35630,0.073965
AT1G68920,AT3G59020,0.073947
AT5G61270,AT5G43870,0.073893
AT4G38900,AT5G41100,0.07388
AT1G06070,AT3G22380,0.073879
AT4G14410,AT1G75770,0.07384
AT2G21230,AT1G68920,0.073772
AT3G10800,AT3G03790,0.073718
AT2G47270,AT5G24070,0.073609
AT5G08130,AT3G48260,0.0736
AT4G36930,AT4G31310,0.073556
AT3G23210,AT5G61270,0.073553
AT3G23210,AT3G47080,0.073538
AT3G19860,AT2G17570,0.073488
AT5G61270,AT1G54110,0.073481
AT3G54620,AT1G12810,0.073457
AT1G06070,AT3G03790,0.073453
AT5G48560,AT1G23750,0.073445
AT1G19490,AT2G42975,0.073381
AT1G19490,AT5G64940,0.073353
AT3G23210,AT5G64170,0.073348
AT5G61270,AT2G35840,0.073273
AT1G68920,AT1G30410,0.073263
AT1G43700,AT3G51370,0.073262
AT5G61270,AT1G70580,0.073247
AT5G61270,AT1G10960,0.073205
AT3G56850,AT4G31080,0.073204
AT1G68920,AT5G02880,0.073172
AT4G34000,AT3G10420,0.073171
AT1G43700,AT1G19660,0.07316
AT1G06070,AT4G32620,0.07315
AT5G28770,AT4G04210,0.073108
AT4G34000,AT2G42750,0.073086
AT2G46270,AT2G33700,0.07308
AT1G49720,AT2G47390,0.072979
AT1G42990,AT3G46620,0.072967
AT5G61270,AT5G35460,0.07296
AT1G06070,AT4G16650,0.072922
AT3G17100,AT3G11450,0.072901
AT3G57800,AT4G35000,0.072897
AT1G06070,AT2G21470,0.072857
AT3G10800,AT3G08670,0.072822
AT4G01120,AT5G27420,0.07279
AT2G18300,AT3G23210,0.07266
AT1G49720,AT4G13250,0.072597
AT3G10800,AT3G59650,0.072594
AT1G06070,AT5G27970,0.072585
AT5G46760,AT1G24460,0.07257
AT3G54620,AT3G48990,0.072559
AT5G46760,AT1G79350,0.072552
AT2G31730,AT1G73540,0.07254
AT3G10800,AT1G22860,0.072521
AT3G17100,AT5G05270,0.072439
AT1G19490,AT1G79440,0.072402
AT3G56850,AT2G37650,0.0724
AT1G68880,AT5G65300,0.072395
AT4G34000,AT3G63160,0.072381
AT1G06070,AT3G08670,0.072364
AT5G61270,AT5G16990,0.07235
AT4G34000,AT5G56980,0.072347
AT5G28770,AT2G41710,0.072331
AT1G68920,AT5G24710,0.072329
AT3G23210,AT5G58770,0.072326
AT1G06070,AT3G62700,0.072306
AT1G49720,AT3G56330,0.072305
AT1G45249,AT5G14640,0.07226
AT5G67110,AT2G29330,0.072222
AT1G68920,AT5G16210,0.072171
AT5G46760,AT4G26840,0.072147
AT1G10610,AT5G26200,0.07214
AT4G01120,AT5G09440,0.072133
AT2G31280,AT5G26600,0.07213
AT3G54620,AT5G10740,0.072097
AT5G28770,AT5G18170,0.072096
AT5G61270,AT1G17050,0.072087
AT3G23210,AT3G01060,0.072083
AT3G23210,AT5G01260,0.072017
AT5G48560,AT5G52070,0.072014
AT5G54680,AT4G25450,0.072007
AT1G19490,AT1G22370,0.071992
AT1G68920,AT1G10130,0.071929
AT1G19490,AT5G59480,0.071925
AT3G56850,AT5G13760,0.071879
AT5G61270,AT5G64170,0.071878
AT1G22070,AT3G46970,0.071797
AT1G49720,AT5G64940,0.071791
AT3G56850,AT4G32160,0.071782
AT5G46760,AT5G55670,0.071751
AT2G24260,AT3G62530,0.071741
AT1G42990,AT5G04340,0.071724
AT1G73830,AT5G50335,0.071711
AT5G28770,AT1G18360,0.071681
AT5G54680,AT4G30900,0.071654
AT3G23210,AT5G15910,0.071611
AT3G57800,AT1G18360,0.071609
AT3G06590,AT2G23320,0.071551
AT4G34000,AT5G61820,0.07155
AT5G61270,AT2G37240,0.071542
AT3G57800,AT1G78895,0.071503
AT1G06070,AT1G16710,0.071493
AT1G06070,AT1G73080,0.071483
AT1G68920,AT2G31280,0.071475
AT1G06070,AT2G41520,0.071427
AT5G61270,AT5G20070,0.071371
AT5G46760,AT5G48385,0.071368
AT3G19290,AT4G24100,0.071295
AT2G46270,AT1G02816,0.071246
AT5G54680,AT4G38220,0.071239
AT5G46760,AT5G41100,0.071234
AT4G34000,AT3G17040,0.071197
AT3G07340,AT5G24830,0.071184
AT1G68920,AT2G22300,0.071183
AT5G54680,AT4G02430,0.071134
AT1G49720,AT1G48330,0.071085
AT1G42990,AT3G04260,0.071081
AT3G19860,AT1G78130,0.071079
AT1G22070,AT5G13100,0.071006
AT1G68920,AT2G38040,0.070999
AT5G46760,AT5G55390,0.070984
AT5G46760,AT1G30290,0.070954
AT2G41070,AT5G05200,0.070944
AT1G68920,AT5G55390,0.070942
AT3G23210,AT2G35840,0.070942
AT3G19860,AT1G10610,0.070886
AT3G57800,AT1G13700,0.070874
AT3G59060,AT5G13630,0.070866
AT1G22070,AT5G13770,0.070845
AT5G46760,AT3G08530,0.070811
AT1G43700,AT1G34630,0.070798
AT3G23210,AT2G30150,0.07078
AT1G19490,AT1G80480,0.070769
AT1G42990,AT3G60690,0.070737
AT5G08130,AT3G03790,0.070733
AT5G46760,AT2G21470,0.070703
AT1G06070,AT2G40540,0.07069
AT1G06070,AT1G17760,0.070641
AT2G46270,AT2G38610,0.07064
AT1G68920,AT5G48610,0.070599
AT1G45249,AT1G07150,0.070573
AT3G57800,AT4G09500,0.070559
AT1G68920,AT3G06670,0.070543
AT5G24800,AT3G48350,0.070509
AT2G46270,AT1G04900,0.070493
AT1G10120,AT3G01680,0.070478
AT5G61270,AT4G26940,0.070463
AT5G61270,AT4G34240,0.070455
AT1G19490,AT3G56940,0.070446
AT4G17880,AT3G23210,0.070409
AT2G46270,AT4G23170,0.070331
AT2G46810,AT2G21660,0.070284
AT4G34000,AT1G70650,0.070258
AT1G68920,AT1G27595,0.070215
AT3G57800,AT4G11240,0.070202
AT5G46760,AT5G04460,0.070186
AT1G19490,AT5G52570,0.070186
AT5G46760,AT4G37895,0.070174
AT1G06070,AT1G79280,0.07014
AT1G22070,AT5G05200,0.070104
AT2G31280,AT1G74780,0.070104
AT3G19860,AT5G56990,0.070088
AT3G23210,AT1G14345,0.070045
AT4G17880,AT3G24190,0.070026
AT1G68920,AT4G35580,0.070004
AT5G28770,AT1G06110,0.069998
AT4G36730,AT1G35430,0.069989
AT4G34000,AT3G57880,0.069986
AT2G43010,AT4G18230,0.069954
AT4G36730,AT5G22000,0.069951
AT1G06070,AT3G12380,0.069896
AT1G68920,AT4G10730,0.069889
AT4G36930,AT5G04250,0.069868
AT3G23210,AT5G58070,0.069866
AT3G17100,AT3G57800,0.069779
AT1G06070,AT5G63320,0.069778
AT5G49450,AT2G04550,0.069771
AT1G22070,AT1G78600,0.069762
AT1G06070,AT5G18190,0.069758
AT1G68920,AT3G08840,0.069749
AT2G22850,AT3G59220,0.069746
AT1G61660,AT4G25670,0.069661
AT5G61270,AT3G18750,0.069657
AT1G63650,AT5G56500,0.069637
AT3G24140,AT2G21080,0.069604
AT3G23210,AT5G16990,0.069599
AT3G10800,AT4G11800,0.069586
AT5G06960,AT3G06760,0.069514
AT5G46760,AT2G22010,0.069514
AT5G65640,AT5G64810,0.069493
AT3G17100,AT3G57050,0.069485
AT1G49720,AT2G46830,0.069472
AT5G54680,AT5G09650,0.06947
AT1G49720,AT5G13730,0.069438
AT3G10800,AT1G77800,0.069436
AT5G57150,AT4G11190,0.069423
AT2G46270,AT1G10522,0.069422
AT5G46760,AT1G22860,0.06942
AT1G49720,AT2G24100,0.069398
AT5G11260,AT1G19490,0.069361
AT5G46760,AT5G44800,0.069337
AT1G68920,AT2G36960,0.069291
AT2G46270,AT5G56980,0.069291
AT4G34000,AT5G63180,0.069242
AT3G59060,AT3G47470,0.069219
AT1G62975,AT2G41312,0.0692
AT3G23210,AT4G27940,0.069176
AT1G43700,AT2G43330,0.069143
AT1G06070,AT1G77800,0.069138
AT2G20180,AT1G23480,0.069136
AT1G68920,AT3G50380,0.069107
AT5G61270,AT4G04020,0.069093
AT1G68920,AT4G14300,0.06907
AT3G10800,AT4G37460,0.069067
AT5G46760,AT2G39260,0.06904
AT4G17880,AT5G58770,0.068967
AT1G68920,AT3G57570,0.068962
AT1G06070,AT5G16210,0.068816
AT1G06070,AT3G63070,0.068783
AT1G19490,AT5G06980,0.068782
AT1G45249,AT3G23920,0.068766
AT1G06070,AT2G22530,0.06876
AT1G68920,AT5G08110,0.068756
AT1G68920,AT5G48385,0.068735
AT5G54680,AT3G12480,0.068709
AT1G49720,AT3G25770,0.068663
AT3G62090,AT3G26910,0.068656
AT1G06070,AT1G07670,0.068622
AT1G68920,AT3G53380,0.0686
AT2G24260,AT1G48330,0.0686
AT3G10800,AT5G42092,0.06859
AT3G56850,AT1G11020,0.068564
AT3G26744,AT1G12860,0.068511
AT1G68920,AT2G23460,0.068507
AT1G05805,AT1G19310,0.068482
AT5G46760,AT1G07670,0.068472
AT5G10030,AT4G30080,0.06847
AT1G43700,AT2G02160,0.068463
AT4G02640,AT3G09000,0.068454
AT2G31370,AT1G31420,0.068434
AT5G46760,AT4G03390,0.068425
AT1G68920,AT1G68400,0.068417
AT1G06070,AT1G02990,0.06841
AT5G46760,AT1G07810,0.068369
AT2G21230,AT1G08592,0.068332
AT1G06070,AT1G79090,0.068301
AT1G35460,AT1G74490,0.068266
AT3G19290,AT5G09650,0.068266
AT5G48560,AT1G27000,0.068251
AT1G06070,AT1G36160,0.06824
AT2G46270,AT1G21410,0.068235
AT4G34000,AT2G45730,0.068184
AT4G29100,AT1G77680,0.068155
AT4G36730,AT3G18210,0.068143
AT3G56850,AT2G44730,0.068142
AT1G19490,AT5G15600,0.068056
AT1G08320,AT3G53670,0.068025
AT1G10610,AT5G24800,0.067976
AT1G43700,AT1G15740,0.067956
AT1G06070,AT3G46920,0.067949
AT3G10800,AT1G06070,0.067947
AT5G46760,AT4G11800,0.067923
AT1G68920,AT5G05660,0.067894
AT1G19490,AT5G15950,0.067858
AT2G18300,AT1G67360,0.067841
AT3G23210,AT2G22240,0.067823
AT2G31370,AT1G55265,0.067816
AT3G10800,AT4G24100,0.067793
AT5G15830,AT1G74840,0.067782
AT1G43700,AT5G54970,0.067758
AT2G40620,AT5G56990,0.067757
AT5G46760,AT3G61690,0.067742
AT5G61270,AT5G15910,0.067685
AT4G14410,AT3G59780,0.067663
AT3G23210,AT2G34450,0.067645
AT5G46760,AT3G04240,0.067637
AT3G56850,AT3G26890,0.067623
AT1G68920,AT5G64220,0.067617
AT2G21230,AT5G60410,0.067574
AT1G03970,AT2G31010,0.067569
AT5G46760,AT5G24710,0.06756
AT3G23210,AT3G44100,0.067537
AT3G23210,AT1G25520,0.067488
AT5G48560,AT3G54000,0.067479
AT5G10030,AT2G05160,0.067473
AT1G19490,AT4G27657,0.067464
AT3G10800,AT4G21105,0.067457
AT1G68920,AT3G63070,0.067452
AT1G22070,AT3G29320,0.06742
AT4G36730,AT2G01490,0.06741
AT1G68920,AT5G27970,0.067367
AT5G54680,AT2G36080,0.067355
AT1G06070,AT3G26400,0.067334
AT1G68920,AT1G02120,0.067331
AT2G24260,AT3G23570,0.067322
AT1G43700,AT5G18170,0.067295
AT1G68920,AT1G20670,0.067247
AT4G38900,AT3G19780,0.067242
AT1G22070,AT1G10360,0.067177
AT2G18300,AT5G58770,0.067167
AT1G68920,AT5G11530,0.067163
AT2G46270,AT3G17810,0.067104
AT5G46760,AT2G25660,0.067096
AT3G56850,AT3G52850,0.067093
AT5G38860,AT3G10220,0.067068
AT1G06070,AT3G09000,0.067065
AT5G28770,AT1G13700,0.067036
AT3G23210,AT1G19700,0.067031
AT5G06960,AT4G11330,0.067027
AT5G46760,AT3G11910,0.067019
AT1G73830,AT1G13245,0.066995
AT5G28770,AT4G11240,0.066987
AT3G56850,AT1G02120,0.066985
AT2G18300,AT1G19490,0.06698
AT3G23210,AT1G67360,0.066971
AT1G68920,AT3G42170,0.066968
AT3G10800,AT1G20110,0.06696
AT1G06070,AT4G19110,0.066951
AT3G10800,AT3G46560,0.066922
AT1G02340,AT4G28720,0.066919
AT5G61270,AT1G48120,0.066918
AT1G68640,AT1G65150,0.066916
AT3G23210,AT2G45990,0.066913
AT4G17880,AT3G44100,0.066885
AT5G46760,AT4G16650,0.066878
AT2G18300,AT5G01260,0.066851
AT3G56850,AT5G54520,0.066825
AT1G68920,AT3G22380,0.06682
AT4G17880,AT5G20070,0.066819
AT2G18300,AT5G02270,0.066789
AT1G42990,AT5G54940,0.066782
AT2G40620,AT5G16800,0.06677
AT3G57800,AT3G01510,0.066762
AT1G43700,AT3G60340,0.066743
AT3G10800,AT1G59910,0.06674
AT2G46270,AT5G63180,0.066734
AT5G46760,AT5G48610,0.066722
AT3G23210,AT1G52342,0.066716
AT2G46270,AT5G42810,0.066715
AT3G10800,AT3G22380,0.066708
AT2G46270,AT3G48690,0.066696
AT2G46270,AT5G48470,0.066662
AT3G06590,AT5G43830,0.066634
AT5G46760,AT3G63460,0.066632
AT1G68920,AT1G24460,0.066629
AT5G46760,AT4G17330,0.066608
AT4G34000,AT3G12320,0.066602
AT1G10610,AT5G05980,0.066598
AT1G68920,AT5G43810,0.066576
AT1G06070,AT5G09620,0.066574
AT5G11260,AT5G43810,0.066559
AT5G54680,AT1G09470,0.066536
AT3G59060,AT1G78995,0.066521
AT3G19860,AT1G58340,0.066518
AT5G61270,AT1G60270,0.066505
AT4G09180,AT5G35460,0.066498
AT4G17880,AT1G19700,0.066485
AT4G38900,AT3G54460,0.066485
AT3G23210,AT1G26761,0.06647
AT5G54680,AT4G02640,0.066467
AT3G10800,AT1G11910,0.066458
AT1G43700,AT5G60890,0.066432
AT5G49450,AT1G04020,0.066428
AT1G19490,AT5G02270,0.066426
AT3G17100,AT1G68190,0.066425
AT1G22070,AT1G77510,0.066414
AT1G43700,AT4G31080,0.066407
AT2G41070,AT4G17730,0.066382
AT1G68920,AT1G79280,0.066382
AT3G10800,AT5G63640,0.066373
AT3G56850,AT3G58640,0.066359
AT5G24800,AT1G76440,0.066357
AT1G06070,AT1G79720,0.066347
AT5G46760,AT3G19840,0.066344
AT4G17880,AT5G01260,0.066328
AT4G17880,AT1G66510,0.066327
AT3G10800,AT2G39260,0.066312
AT3G10800,AT3G26400,0.066311
AT4G36730,AT3G17580,0.066308
AT4G38900,AT1G30410,0.066301
AT5G61270,AT2G43500,0.066294
AT3G23210,AT3G16050,0.066293
AT1G22070,AT1G21750,0.066288
AT3G10800,AT4G15140,0.066277
AT2G18300,AT1G75170,0.066258
AT1G45249,AT5G15950,0.066246
AT5G46760,AT1G67785,0.066244
AT5G48560,AT1G16590,0.066241
AT4G37730,AT3G53350,0.066198
AT1G05805,AT3G27210,0.066194
AT5G46760,AT3G26910,0.066186
AT2G40950,AT2G26140,0.06617
AT2G31280,AT2G47350,0.066146
AT3G56850,AT2G23460,0.066135
AT1G49720,AT3G54500,0.066126
AT3G54620,AT3G20250,0.066109
AT1G13600,AT1G49720,0.066076
AT3G17100,AT1G02660,0.066051
AT4G30980,AT5G55840,0.06605
AT2G46270,AT4G00026,0.066039
AT1G06070,AT3G19780,0.066039
AT5G54680,AT1G78130,0.066035
AT5G11260,AT5G61830,0.066027
AT4G36540,AT2G18300,0.066025
AT1G19490,AT1G19970,0.066024
AT2G31730,AT3G08990,0.06602
AT3G47640,AT3G23210,0.066006
AT1G32640,AT1G35460,0.066
AT3G56850,AT1G27330,0.065991
AT4G30180,AT5G46420,0.065991
AT1G06070,AT5G55390,0.065978
AT4G02640,AT3G57870,0.065948
AT3G10800,AT3G09570,0.065941
AT1G06070,AT1G30290,0.065939
AT5G28770,AT5G24155,0.065934
AT3G23210,AT1G22850,0.065869
AT1G06070,AT3G60240,0.065845
AT2G40620,AT2G40860,0.065823
AT1G74500,AT3G23690,0.065816
AT1G43700,AT1G75180,0.065794
AT4G34000,AT3G02570,0.065779
AT3G23210,AT5G24850,0.065763
AT3G54620,AT4G30900,0.065754
AT2G40950,AT1G06530,0.065726
AT3G56850,AT3G23580,0.065725
AT1G49720,AT3G59820,0.065725
AT1G43700,AT5G05270,0.065704
AT3G54620,AT2G46535,0.065694
AT4G36730,AT1G04020,0.065685
AT1G68640,AT3G22680,0.065657
AT3G23210,AT3G47160,0.065654
AT1G45249,AT3G48800,0.065633
AT4G38900,AT1G79350,0.065489
AT1G02340,AT3G13980,0.065487
AT3G54620,AT3G27360,0.065468
AT1G22070,AT1G20260,0.065452
AT1G10610,AT5G10070,0.065423
AT2G43010,AT3G47470,0.065402
AT4G38900,AT3G61710,0.06538
AT1G06070,AT5G25100,0.06538
AT2G46270,AT2G48020,0.065376
AT4G38900,AT1G20670,0.065362
AT5G46760,AT5G27970,0.06535
AT1G43700,AT2G29020,0.065324
AT1G43700,AT1G06110,0.065315
AT1G03970,AT5G02100,0.065306
AT5G11260,AT5G07590,0.065285
AT2G41070,AT1G71697,0.065281
AT5G46760,AT3G05670,0.065272
AT5G46760,AT3G47060,0.065269
AT4G34000,AT2G20480,0.06526
AT1G19490,AT2G34460,0.065235
AT1G43700,AT1G56330,0.065217
AT1G19490,AT5G19875,0.065196
AT1G12860,AT2G20260,0.065173
AT1G06850,AT3G12600,0.065143
AT2G21230,AT5G51690,0.065132
AT5G38860,AT4G39730,0.065122
AT2G46270,AT3G02470,0.065121
AT3G57800,AT1G03610,0.065104
AT2G43060,AT1G02340,0.065096
AT5G54680,AT3G09000,0.06507
AT4G38900,AT2G22530,0.065045
AT1G13600,AT4G36060,0.065037
AT1G68880,AT4G29430,0.065035
AT2G22770,AT3G15950,0.065023
AT3G47640,AT1G19700,0.065019
AT1G61660,AT3G06760,0.064997
AT1G02340,AT1G18400,0.064982
AT3G23210,AT5G02950,0.064981
AT1G49720,AT5G57410,0.064969
AT3G23210,AT3G48610,0.064967
AT3G10800,AT1G67785,0.064963
AT3G17100,AT3G54650,0.064935
AT3G17100,AT3G55120,0.064908
AT2G21230,AT4G17940,0.064901
AT4G17880,AT4G32295,0.064895
AT3G10800,AT3G04240,0.064881
AT2G21230,AT3G56850,0.06487
AT1G19490,AT4G32295,0.064853
AT1G12860,AT3G05020,0.06482
AT1G43700,AT3G48530,0.064814
AT1G22070,AT3G62940,0.064808
